query_id,flag,Recall@10,NDCG@10
q01,query_only,0.37037037037037035,1.0
q01,query_notes,0.37037037037037035,1.0
q01,query_notes_pop,0.37037037037037035,1.0
q01,query_notes_pop_cue,0.37037037037037035,1.0
q02,query_only,0.38461538461538464,0.8039210760079568
q02,query_notes,0.38461538461538464,0.8039210760079568
q02,query_notes_pop,0.38461538461538464,0.8899541168509599
q02,query_notes_pop_cue,0.38461538461538464,0.8899541168509599
q03,query_only,0.3225806451612903,0.9159238567655447
q03,query_notes,0.3225806451612903,0.7124630069083354
q03,query_notes_pop,0.3225806451612903,0.6846681268171357
q03,query_notes_pop_cue,0.3225806451612903,0.8140730213119421
q04,query_only,0.4,1.0
q04,query_notes,0.4,1.0
q04,query_notes_pop,0.4,1.0
q04,query_notes_pop_cue,0.4,1.0
q05,query_only,0.30303030303030304,0.6075090646474809
q05,query_notes,0.2727272727272727,0.6329626535132661
q05,query_notes_pop,0.30303030303030304,0.6734755959343482
q05,query_notes_pop_cue,0.30303030303030304,0.9681896059005243
q06,query_only,0.45454545454545453,1.0
q06,query_notes,0.45454545454545453,1.0
q06,query_notes_pop,0.45454545454545453,1.0
q06,query_notes_pop_cue,0.45454545454545453,1.0
q07,query_only,0.45454545454545453,0.8860798127473601
q07,query_notes,0.45454545454545453,0.8860798127473601
q07,query_notes_pop,0.45454545454545453,0.94497705842548
q07,query_notes_pop_cue,0.45454545454545453,0.94497705842548
q08,query_only,0.3448275862068966,1.0
q08,query_notes,0.3448275862068966,1.0
q08,query_notes_pop,0.3448275862068966,1.0
q08,query_notes_pop_cue,0.3448275862068966,1.0
q09,query_only,0.5263157894736842,0.6396213573695828
q09,query_notes,0.5263157894736842,0.6396213573695828
q09,query_notes_pop,0.3684210526315789,0.5594353421261888
q09,query_notes_pop_cue,0.3684210526315789,0.5594353421261888
q10,query_only,0.5263157894736842,1.0
q10,query_notes,0.15789473684210525,0.2345000466603374
q10,query_notes_pop,0.21052631578947367,0.2283507848274225
q10,query_notes_pop_cue,0.21052631578947367,0.2283507848274225
q11,query_only,0.35714285714285715,1.0
q11,query_notes,0.35714285714285715,0.8455639606303038
q11,query_notes_pop,0.35714285714285715,0.900346883204941
q11,query_notes_pop_cue,0.35714285714285715,0.900346883204941
q12,query_only,0.3448275862068966,1.0
q12,query_notes,0.3448275862068966,1.0
q12,query_notes_pop,0.3448275862068966,1.0
q12,query_notes_pop_cue,0.3448275862068966,1.0
q13,query_only,0.35714285714285715,0.8031207811769641
q13,query_notes,0.35714285714285715,0.8031207811769641
q13,query_notes_pop,0.35714285714285715,0.8507549823616222
q13,query_notes_pop_cue,0.17857142857142858,0.2810769269002662
q14,query_only,0.45454545454545453,0.9681896059005243
q14,query_notes,0.45454545454545453,1.0
q14,query_notes_pop,0.45454545454545453,1.0
q14,query_notes_pop_cue,0.45454545454545453,1.0
q15,query_only,0.43478260869565216,0.9574284411791895
q15,query_notes,0.43478260869565216,0.6862953770554114
q15,query_notes_pop,0.43478260869565216,0.7950245425767328
q15,query_notes_pop_cue,0.43478260869565216,0.7950245425767328
