query_id,flag,Recall@10,NDCG@10
q01,query_only,0.37037037037037035,1.0
q01,query_notes,0.37037037037037035,1.0
q01,query_notes_pop,0.37037037037037035,1.0
q01,query_notes_pop_cue,0.37037037037037035,1.0
q02,query_only,0.38461538461538464,0.7385614346772756
q02,query_notes,0.38461538461538464,0.7385614346772756
q02,query_notes_pop,0.38461538461538464,0.8532721558012798
q02,query_notes_pop_cue,0.38461538461538464,0.8532721558012798
q03,query_only,0.3225806451612903,0.8878984756873928
q03,query_notes,0.3225806451612903,0.6166173425444473
q03,query_notes_pop,0.3225806451612903,0.5795575024228476
q03,query_notes_pop_cue,0.3225806451612903,0.7520973617492561
q04,query_only,0.4,1.0
q04,query_notes,0.4,1.0
q04,query_notes_pop,0.4,1.0
q04,query_notes_pop_cue,0.4,1.0
q05,query_only,0.30303030303030304,0.47667875286330774
q05,query_notes,0.2727272727272727,0.5389979105648952
q05,query_notes_pop,0.30303030303030304,0.5646341279124643
q05,query_notes_pop_cue,0.30303030303030304,0.9575861412006988
q06,query_only,0.45454545454545453,1.0
q06,query_notes,0.45454545454545453,1.0
q06,query_notes_pop,0.45454545454545453,1.0
q06,query_notes_pop_cue,0.45454545454545453,1.0
q07,query_only,0.45454545454545453,0.84810641699648
q07,query_notes,0.45454545454545453,0.84810641699648
q07,query_notes_pop,0.45454545454545453,0.9266360779006398
q07,query_notes_pop_cue,0.45454545454545453,0.9266360779006398
q08,query_only,0.3448275862068966,1.0
q08,query_notes,0.3448275862068966,1.0
q08,query_notes_pop,0.3448275862068966,1.0
q08,query_notes_pop_cue,0.3448275862068966,1.0
q09,query_only,0.5263157894736842,0.5010881176720027
q09,query_notes,0.5263157894736842,0.5010881176720027
q09,query_notes_pop,0.3684210526315789,0.5221983040995377
q09,query_notes_pop_cue,0.3684210526315789,0.5221983040995377
q10,query_only,0.5263157894736842,1.0
q10,query_notes,0.15789473684210525,0.15633336444022494
q10,query_notes_pop,0.21052631578947367,0.20151035352343255
q10,query_notes_pop_cue,0.21052631578947367,0.20151035352343255
q11,query_only,0.35714285714285715,1.0
q11,query_notes,0.35714285714285715,0.794085280840405
q11,query_notes_pop,0.35714285714285715,0.867129177606588
q11,query_notes_pop_cue,0.35714285714285715,0.867129177606588
q12,query_only,0.3448275862068966,1.0
q12,query_notes,0.3448275862068966,1.0
q12,query_notes_pop,0.3448275862068966,1.0
q12,query_notes_pop_cue,0.3448275862068966,1.0
q13,query_only,0.35714285714285715,0.7374943749026186
q13,query_notes,0.35714285714285715,0.7374943749026186
q13,query_notes_pop,0.35714285714285715,0.8010066431488296
q13,query_notes_pop_cue,0.17857142857142858,0.25382002913021673
q14,query_only,0.45454545454545453,0.9575861412006988
q14,query_notes,0.45454545454545453,1.0
q14,query_notes_pop,0.45454545454545453,1.0
q14,query_notes_pop_cue,0.45454545454545453,1.0
q15,query_only,0.43478260869565216,0.9432379215722527
q15,query_notes,0.43478260869565216,0.581727169407215
q15,query_notes_pop,0.43478260869565216,0.7266993901023102
q15,query_notes_pop_cue,0.43478260869565216,0.7266993901023102
